TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i
9543,,Qatar,South Africa,Original,2015,2016,In Force,QAT,High income,Middle East & North Africa,ZAF,Upper middle income,Sub-Saharan Africa,0.42,0.28,0.47,0.50,0.47,6,YES,6,YES,YES,NO,YES,NO,NO,NO,NO,5,10,10,10,10,5,5,5,0,YES,NO,YES,YES,YES,NO,NO,NA
9547,,Guatemala,Mexico,Original,2015,,Not In Force,GTM,Upper middle income,Latin America & Caribbean,MEX,Upper middle income,Latin America & Caribbean,0.70,0.38,0.97,0.75,0.82,6,YES,6,NO,NO,YES,YES,YES,YES,NO,NO,5,25,15,15,5,10,10,10,0,YES,YES,YES,YES,YES,NO,NO,LOB
9548,,Côte d'Ivoire,Portugal,Original,2015,2018,In Force,CIV,Lower middle income,Sub-Saharan Africa,PRT,High income,Europe & Central Asia,0.45,0.38,0.59,0.38,0.53,6,YES,NO,YES,YES,YES,YES,YES,NO,YES,NO,10,,10,10,10,5,5,5,5,YES,NO,YES,NO,NO,NO,YES,PPT
9550,,Comoros,United Arab Emirates,Original,2015,,In Force,COM,Lower middle income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9552,,Ireland,Zambia,Original,2015,2016,In Force,IRL,High income,Europe & Central Asia,ZMB,Lower middle income,Sub-Saharan Africa,0.31,0.34,0.47,0.13,0.29,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,7.5,,7.5,10,10,10,10,10,0,YES,NO,NO,NO,NO,NO,YES,NA
9554,,Ethiopia,United Arab Emirates,Original,2015,,Not In Force,ETH,Low income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.32,0.15,0.58,0.25,0.38,9,YES,6,YES,YES,YES,YES,NO,NO,NO,NO,5,,5,5,5,0,5,0,0,YES,NO,YES,NO,NO,NO,NO,NA
9555,,"Korea, Rep.",Turkmenistan,Original,2015,2017,Superseded,KOR,High income,East Asia & Pacific,TKM,Upper middle income,Europe & Central Asia,0.35,0.38,0.44,0.25,0.29,12,YES,6,YES,YES,NO,YES,NO,NO,NO,NO,10,,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,NO,NA
9556,,Morocco,Saudi Arabia,Original,2015,,Not In Force,MAR,Lower middle income,Middle East & North Africa,SAU,High income,Middle East & North Africa,0.59,0.13,0.97,0.67,0.91,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,10,10,,,,,,,,,,,,,,
9557,,Ireland,Pakistan,Original,2015,2017,Superseded,IRL,High income,Europe & Central Asia,PAK,Lower middle income,South Asia,0.48,0.47,0.47,0.50,0.53,6,YES,NO,YES,YES,NO,YES,YES,NO,YES,NO,5,25,10,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,NO,NA
9558,,Malawi,Netherlands,Original,2015,,Not In Force,MWI,Low income,Sub-Saharan Africa,NLD,High income,Europe & Central Asia,0.29,0.28,0.34,0.25,0.29,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,10,10,5,5,5,0,YES,NO,NO,NO,YES,YES,YES,NA
9559,,Belarus,Georgia,Original,2015,2016,In Force,BLR,Upper middle income,Europe & Central Asia,GEO,Upper middle income,Europe & Central Asia,0.14,0.22,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,5,5,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,NA
9564,,Czech Republic,"Iran, Islamic Rep.",Original,2015,2017,In Force,CZE,High income,Europe & Central Asia,IRN,Upper middle income,Middle East & North Africa,0.34,0.19,0.69,0.13,0.35,12,YES,6,NO,NO,NO,NO,YES,NO,NO,NO,5,,5,5,0,8,8,8,0,NO,YES,NO,NO,NO,NO,NO,NA
9567,,Austria,Turkmenistan,Original,2015,2017,In Force,AUT,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,0.18,0.34,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,0,25,15,10,10,10,10,10,0,YES,NO,NO,NO,NO,NO,NO,NA
9568,,Cyprus,Georgia,Original,2015,2017,Superseded,CYP,High income,Europe & Central Asia,GEO,Upper middle income,Europe & Central Asia,0.07,0.00,0.20,0.00,0.09,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,0,,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA
9569,,Ethiopia,Poland,Original,2015,2018,In Force,ETH,Low income,Sub-Saharan Africa,POL,High income,Europe & Central Asia,0.40,0.50,0.33,0.38,0.38,9,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,10,,10,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,NO,PPT
9570,,Georgia,Iceland,Original,2015,2016,Superseded,GEO,Upper middle income,Europe & Central Asia,ISL,High income,Europe & Central Asia,0.10,0.22,0.09,0.00,0.06,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,10,5,5,5,5,5,0,NO,NO,NO,NO,NO,NO,YES,NA
9571,,Georgia,Liechtenstein,Original,2015,2017,Superseded,GEO,Upper middle income,Europe & Central Asia,LIE,High income,Europe & Central Asia,0.07,0.00,0.08,0.13,0.09,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,0,,0,0,0,0,0,0,0,YES,NO,NO,NO,NO,YES,NO,NA
9572,,Argentina,Chile,Original,2015,2010,In Force,ARG,Upper middle income,Latin America & Caribbean,CHL,High income,Latin America & Caribbean,0.65,0.60,0.84,0.50,0.71,6,YES,6,NO,NO,NO,YES,YES,NO,NO,NO,10,25,15,15,12,10,15,10,10,YES,YES,YES,NO,YES,NO,YES,LOB-PPT
9573,,Armenia,Slovak Republic,Original,2015,2018,In Force,ARM,Upper middle income,Europe & Central Asia,SVK,High income,Europe & Central Asia,0.24,0.28,0.33,0.13,0.21,9,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,10,10,5,5,5,0,YES,NO,NO,NO,NO,NO,YES,PPT
9574,,India,"Korea, Rep.",Original,2015,2017,Superseded,IND,Lower middle income,South Asia,KOR,High income,East Asia & Pacific,0.55,0.56,0.72,0.38,0.59,6,YES,6,YES,YES,YES,YES,YES,NO,NO,NO,15,,15,10,10,10,10,10,10,YES,YES,YES,NO,NO,NO,YES,PPT
9577,,Chile,China,Original,2015,2017,Superseded,CHL,High income,Latin America & Caribbean,CHN,Upper middle income,East Asia & Pacific,0.47,0.30,0.59,0.50,0.53,6,YES,6,YES,YES,NO,YES,YES,NO,NO,NO,10,,10,10,4,10,10,2,0,YES,YES,YES,NO,YES,NO,NO,LOB-PPT
9580,,Guinea-Bissau,Morocco,Original,2015,,Not In Force,GNB,Low income,Sub-Saharan Africa,MAR,Lower middle income,Middle East & North Africa,0.52,0.34,0.84,0.38,0.59,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,5,25,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,YES,NA
9582,,Portugal,Vietnam,Original,2015,2017,In Force,PRT,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.65,0.47,0.97,0.50,0.76,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,5,70,15,10,10,10,10,10,7.5,YES,YES,YES,NO,NO,NO,NO,PPT
9583,,Kosovo,United Kingdom,Original,2015,2016,In Force,UNK,Upper middle income,Europe & Central Asia,GBR,High income,Europe & Central Asia,0.06,0.00,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,0,,0,0,0,0,0,0,0,YES,NO,NO,NO,NO,YES,YES,NA
9584,,Uganda,United Arab Emirates,Original,2015,,Not In Force,UGA,Low income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9585,,Singapore,Thailand,Original,2015,2017,In Force,SGP,High income,East Asia & Pacific,THA,Upper middle income,East Asia & Pacific,0.48,0.38,0.56,0.50,0.47,12,YES,6,YES,YES,YES,NO,YES,NO,NO,YES,10,,10,15,10,10,5,8,0,YES,NO,YES,NO,YES,NO,NO,NA
9587,,Colombia,France,Original,2015,,Not In Force,COL,Upper middle income,Latin America & Caribbean,FRA,High income,Europe & Central Asia,0.30,0.31,0.34,0.25,0.29,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,20,15,10,0,10,10,10,0,YES,YES,NO,NO,NO,NO,YES,PPT
9590,,India,Thailand,Original,2015,2016,In Force,IND,Lower middle income,South Asia,THA,Upper middle income,East Asia & Pacific,0.66,0.38,0.97,0.63,0.76,6,YES,6,NO,NO,YES,YES,YES,NO,NO,YES,10,,10,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
9591,,United States,Vietnam,Original,2015,,Not In Force,USA,High income,North America,VNM,Lower middle income,East Asia & Pacific,0.40,0.35,0.47,0.38,0.41,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,25,15,10,10,10,10,5,0,YES,NO,YES,NO,YES,NO,YES,LOB
9592,,New Zealand,Samoa,Original,2015,2016,In Force,NZL,High income,East Asia & Pacific,WSM,Upper middle income,East Asia & Pacific,0.32,0.38,0.34,0.25,0.29,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,10,10,10,10,10,0,YES,NO,NO,NO,YES,NO,NO,PPT
9593,,Ethiopia,West Bank and Gaza,Original,2015,,Not In Force,ETH,Low income,Sub-Saharan Africa,PSE,Lower middle income,Middle East & North Africa,0.39,0.44,0.34,0.38,0.41,6,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,10,,10,10,10,5,5,5,10,NO,YES,YES,NO,YES,NO,NO,NA
9595,,Portugal,São Tomé and Principe,Original,2015,2018,In Force,PRT,High income,Europe & Central Asia,STP,Lower middle income,Sub-Saharan Africa,0.35,0.59,0.22,0.25,0.29,6,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,25,15,10,10,10,10,10,15,YES,NO,YES,NO,NO,NO,NO,PPT
9597,,Netherlands,Zambia,Original,2015,2019,In Force,NLD,High income,Europe & Central Asia,ZMB,Lower middle income,Sub-Saharan Africa,0.31,0.34,0.47,0.13,0.29,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,5,10,15,10,10,7.5,7.5,7.5,0,NO,NO,NO,NO,NO,YES,YES,NA
9598,,Cabo Verde,Guinea-Bissau,Original,2015,,Not In Force,CPV,Lower middle income,Sub-Saharan Africa,GNB,Low income,Sub-Saharan Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9599,,Kenya,Netherlands,Original,2015,,Not In Force,KEN,Lower middle income,Sub-Saharan Africa,NLD,High income,Europe & Central Asia,0.26,0.31,0.20,0.25,0.21,9,NO,NO,YES,YES,NO,YES,NO,NO,NO,YES,0,10,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,YES,YES,NA
9600,,"Gambia, The",United Arab Emirates,Original,2015,,Not In Force,GMB,Low income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.41,0.25,0.72,0.25,0.47,6,YES,9,YES,YES,YES,YES,YES,NO,YES,NO,0,,0,0,0,NO LIMIT,NO LIMIT,NO LIMIT,0,NO,NO,YES,NO,NO,NO,NO,NA
9603,,Cyprus,"Iran, Islamic Rep.",Original,2015,2018,In Force,CYP,High income,Europe & Central Asia,IRN,Upper middle income,Middle East & North Africa,0.35,0.23,0.56,0.25,0.35,12,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,5,25,10,5,5,6,6,6,0,YES,NO,YES,NO,NO,NO,NO,NA
9604,,South Africa,Zimbabwe,Original,2015,2017,In Force,ZAF,Upper middle income,Sub-Saharan Africa,ZWE,Lower middle income,Sub-Saharan Africa,0.35,0.34,0.47,0.25,0.41,6,YES,6,YES,YES,NO,YES,NO,NO,NO,NO,5,25,10,5,5,10,10,10,5,NO,NO,YES,NO,YES,NO,YES,NA
9607,,Azerbaijan,San Marino,Original,2015,2017,In Force,AZE,Upper middle income,Europe & Central Asia,SMR,High income,Europe & Central Asia,0.50,0.30,0.94,0.25,0.53,12,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,5,25,10,10,10,5,10,5,0,YES,NO,YES,NO,NO,YES,NO,PPT
9609,,Estonia,Vietnam,Original,2015,2017,In Force,EST,High income,Europe & Central Asia,VNM,Lower middle income,East Asia & Pacific,0.64,0.44,0.84,0.63,0.76,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,5,70,10,10,10,10,10,10,7.5,YES,NO,YES,NO,YES,NO,YES,NA
9614,,Albania,Morocco,Original,2015,,Not In Force,ALB,Upper middle income,Europe & Central Asia,MAR,Lower middle income,Middle East & North Africa,0.74,0.50,0.97,0.75,0.88,6,YES,1,NO,NO,YES,YES,YES,YES,YES,NO,10,,10,10,10,10,10,10,10,YES,YES,YES,YES,NO,NO,YES,NA
9615,,Poland,Sri Lanka,Original,2015,2020,In Force,POL,High income,Europe & Central Asia,LKA,Upper middle income,South Asia,0.70,0.50,0.97,0.63,0.82,6,YES,6,NO,NO,YES,YES,YES,NO,NO,YES,10,,10,10,10,10,10,10,10,YES,YES,YES,NO,YES,NO,NO,PPT
9617,,Mauritania,United Arab Emirates,Original,2015,,Not In Force,MRT,Lower middle income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.23,0.00,0.56,0.13,0.29,12,YES,12,YES,YES,YES,YES,NO,NO,NO,NO,0,,0,0,0,0,0,0,0,NO,NO,YES,NO,NO,NO,NO,NA
9618,,Senegal,United Arab Emirates,Original,2015,2015,In Force,SEN,Lower middle income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.59,0.19,0.97,0.63,0.76,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,,5,5,5,5,5,5,0,YES,YES,YES,NO,NO,NO,NO,NA
9620,,North Macedonia,United Arab Emirates,Original,2015,2018,In Force,MKD,Upper middle income,Europe & Central Asia,ARE,High income,Middle East & North Africa,0.18,0.19,0.09,0.25,0.18,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,,5,5,5,5,5,5,0,YES,NO,YES,NO,NO,NO,NO,NA
9622,,Argentina,Mexico,Original,2015,2018,In Force,ARG,Upper middle income,Latin America & Caribbean,MEX,Upper middle income,Latin America & Caribbean,0.68,0.58,0.97,0.50,0.76,6,YES,6,NO,NO,YES,YES,YES,NO,NO,NO,10,25,15,12,12,10,15,10,10,YES,YES,YES,NO,YES,NO,NO,LOB-PPT
9623,,Saudi Arabia,"Venezuela, RB",Original,2015,2017,In Force,SAU,High income,Middle East & North Africa,VEN,Upper middle income,Latin America & Caribbean,0.52,0.23,0.84,0.50,0.65,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,5,,5,5,5,8,8,8,0,NO,YES,YES,NO,NO,NO,NO,OTHER
9625,,Senegal,Turkey,Original,2015,,Not In Force,SEN,Lower middle income,Sub-Saharan Africa,TUR,Upper middle income,Europe & Central Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9626,,Mexico,Philippines,Original,2015,2019,In Force,MEX,Upper middle income,Latin America & Caribbean,PHL,Lower middle income,East Asia & Pacific,0.77,0.47,0.84,1.00,0.88,6,YES,6,NO,NO,YES,YES,NO,YES,YES,YES,5,70,15,12.5,12.5,15,15,15,0,YES,YES,YES,YES,YES,NO,YES,NA
9627,,Curaçao,Malta,Original,2015,,Not In Force,CUW,High income,Latin America & Caribbean,MLT,High income,Middle East & North Africa,0.11,0.03,0.19,0.13,0.12,12,NO,NO,YES,YES,NO,YES,NO,NO,NO,NO,0,10,5,0,0,0,0,0,0,YES,NO,NO,NO,NO,YES,YES,NA
9629,,Singapore,South Africa,Original,2015,2016,In Force,SGP,High income,East Asia & Pacific,ZAF,Upper middle income,Sub-Saharan Africa,0.31,0.25,0.31,0.38,0.29,12,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,7.5,7.5,5,5,5,0,YES,NO,YES,NO,YES,NO,NO,NA
9630,,South Africa,United Arab Emirates,Original,2015,2017,In Force,ZAF,Upper middle income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.26,0.34,0.31,0.13,0.18,12,YES,9,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
9631,,Mauritius,Morocco,Original,2015,,Not In Force,MUS,Upper middle income,Sub-Saharan Africa,MAR,Lower middle income,Middle East & North Africa,0.53,0.36,0.72,0.50,0.59,6,YES,NO,NO,NO,YES,NO,YES,NO,YES,NO,8,25,10,10,10,10,10,10,0,YES,NO,YES,YES,NO,NO,YES,NA
9633,,Hungary,"Iran, Islamic Rep.",Original,2015,2017,In Force,HUN,High income,Europe & Central Asia,IRN,Upper middle income,Middle East & North Africa,0.28,0.09,0.59,0.14,0.38,6,YES,NO,NO,NO,NO,NO,YES,NO,,NO,0,,0,5,0,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,PPT
9634,,China,Zimbabwe,Original,2015,2017,In Force,CHN,Upper middle income,East Asia & Pacific,ZWE,Lower middle income,Sub-Saharan Africa,0.31,0.25,0.44,0.25,0.29,12,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,2.5,25,7.5,7.5,7.5,7.5,7.5,7.5,0,YES,YES,NO,NO,NO,NO,NO,NA
9636,,Israel,North Macedonia,Original,2015,2019,In Force,ISR,High income,Middle East & North Africa,MKD,Upper middle income,Europe & Central Asia,0.17,0.31,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,5,5,5,0,YES,NO,NO,NO,NO,NO,NO,LOB-PPT
9637,,Finland,Turkmenistan,Original,2015,2018,In Force,FIN,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,0.19,0.38,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,10,10,10,10,10,0,YES,NO,NO,NO,NO,NO,NO,NA
9638,,Kuwait,Kyrgyz Republic,Original,2015,2018,In Force,KWT,High income,Middle East & North Africa,KGZ,Lower middle income,Europe & Central Asia,0.19,0.13,0.33,0.13,0.21,9,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,0,,0,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
9641,,Gabon,Saudi Arabia,Original,2015,,Not In Force,GAB,Upper middle income,Sub-Saharan Africa,SAU,High income,Middle East & North Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9643,,Norway,Zambia,Original,2015,2018,In Force,NOR,High income,Europe & Central Asia,ZMB,Lower middle income,Sub-Saharan Africa,0.36,0.38,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,5,25,15,10,10,10,10,10,0,NO,NO,NO,NO,YES,NO,YES,NA
9645,,Bahrain,Bangladesh,Original,2015,2019,In Force,BHR,High income,Middle East & North Africa,BGD,Lower middle income,South Asia,0.42,0.41,0.47,0.38,0.41,6,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,10,10,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA
9646,,Cyprus,Ethiopia,Original,2015,2018,In Force,CYP,High income,Europe & Central Asia,ETH,Low income,Sub-Saharan Africa,0.26,0.19,0.34,0.25,0.29,6,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,5,,5,5,5,5,5,5,0,NO,NO,YES,NO,YES,NO,NO,NA
9648,,Mexico,Saudi Arabia,Original,2016,2019,In Force,MEX,Upper middle income,Latin America & Caribbean,SAU,High income,Middle East & North Africa,0.63,0.28,0.84,0.75,0.76,6,YES,6,NO,NO,YES,YES,NO,YES,YES,NO,5,,5,10,5,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA
9650,,Nigeria,United Arab Emirates,Original,2016,,Not In Force,NGA,Lower middle income,Sub-Saharan Africa,ARE,High income,Middle East & North Africa,0.53,0.38,0.59,0.63,0.65,6,YES,NO,YES,YES,YES,YES,YES,YES,YES,NO,7.5,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,YES,NO,YES,YES,NO,NO,NO,NA
9651,,"Iran, Islamic Rep.",Slovak Republic,Original,2016,2019,In Force,IRN,Upper middle income,Middle East & North Africa,SVK,High income,Europe & Central Asia,0.31,0.22,0.59,0.13,0.35,6,YES,6,NO,NO,NO,NO,NO,NO,NO,NO,5,,5,5,5,7.5,7.5,7.5,0,YES,NO,NO,NO,NO,NO,NO,OTHER
9654,,Morocco,São Tomé and Principe,Original,2016,,Not In Force,MAR,Lower middle income,Middle East & North Africa,STP,Lower middle income,Sub-Saharan Africa,0.52,0.34,0.84,0.38,0.59,6,YES,NO,NO,NO,YES,YES,YES,NO,YES,NO,5,20,10,10,10,10,10,10,0,YES,NO,YES,NO,NO,NO,YES,NA
9655,,Belarus,Ecuador,Original,2016,2018,In Force,BLR,Upper middle income,Europe & Central Asia,ECU,Upper middle income,Latin America & Caribbean,0.47,0.34,0.58,0.50,0.50,9,YES,6,YES,YES,NO,YES,YES,NO,NO,NO,5,25,10,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,LOB-PPT
9656,,Armenia,Sweden,Original,2016,2018,In Force,ARM,Upper middle income,Europe & Central Asia,SWE,High income,Europe & Central Asia,0.23,0.25,0.20,0.25,0.21,9,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,5,5,5,5,5,0,YES,NO,NO,NO,YES,YES,YES,OTHER
9657,,Azerbaijan,Sweden,Original,2016,2017,In Force,AZE,Upper middle income,Europe & Central Asia,SWE,High income,Europe & Central Asia,0.30,0.35,0.44,0.13,0.24,12,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,20,15,8,8,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,OTHER
9658,,Luxembourg,Senegal,Original,2016,2019,In Force,LUX,High income,Europe & Central Asia,SEN,Lower middle income,Sub-Saharan Africa,0.53,0.36,0.72,0.50,0.59,6,YES,6,YES,YES,YES,YES,YES,NO,YES,NO,5,20,15,10,10,10,10,6,0,YES,YES,YES,NO,NO,NO,YES,PPT
9661,,Nigeria,Qatar,Original,2016,,Not In Force,NGA,Lower middle income,Sub-Saharan Africa,QAT,High income,Middle East & North Africa,0.54,0.28,0.84,0.50,0.65,6,YES,6,NO,NO,NO,YES,YES,NO,YES,YES,7.5,,7.5,7.5,7.5,7.5,7.5,7.5,0,NO,NO,YES,YES,NO,YES,NO,NA
9662,,Côte d'Ivoire,Turkey,Original,2016,,Not In Force,CIV,Lower middle income,Sub-Saharan Africa,TUR,Upper middle income,Europe & Central Asia,0.43,0.34,0.44,0.50,0.41,12,YES,6,YES,YES,NO,NO,YES,YES,NO,NO,5,10,10,10,10,10,10,10,0,YES,NO,YES,YES,NO,NO,YES,NA
9664,,Botswana,Malawi,Original,2016,,Not In Force,BWA,Upper middle income,Sub-Saharan Africa,MWI,Low income,Sub-Saharan Africa,0.61,0.48,0.84,0.50,0.71,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,25,8,10,10,12,12,12,10,YES,NO,YES,NO,YES,NO,YES,NA
9665,,Czech Republic,Turkmenistan,Original,2016,2019,In Force,CZE,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,0.56,0.38,0.94,0.38,0.59,12,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,10,,10,10,10,10,10,10,0,NO,YES,YES,NO,NO,NO,NO,OTHER
9666,,Georgia,"Korea, Rep.",Original,2016,2017,Superseded,GEO,Upper middle income,Europe & Central Asia,KOR,High income,East Asia & Pacific,0.18,0.34,0.08,0.13,0.09,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,10,10,10,10,10,10,0,YES,NO,NO,NO,NO,NO,YES,NA
9668,,Jordan,United Arab Emirates,Original,2016,2018,Superseded,JOR,Upper middle income,Middle East & North Africa,ARE,High income,Middle East & North Africa,0.53,0.26,0.84,0.50,0.65,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,7,,7,7,0,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA
9669,,Morocco,Slovenia,Original,2016,,Not In Force,MAR,Lower middle income,Middle East & North Africa,SVN,High income,Europe & Central Asia,0.57,0.48,0.59,0.63,0.65,6,YES,3,YES,YES,NO,YES,YES,YES,YES,NO,7,25,10,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,NO,NA
9670,,"Egypt, Arab Rep.",Saudi Arabia,Original,2016,2018,Superseded,EGY,Lower middle income,Middle East & North Africa,SAU,High income,Middle East & North Africa,0.60,0.34,0.97,0.50,0.71,6,YES,6,NO,NO,YES,YES,YES,NO,YES,NO,5,20,10,10,10,10,10,10,0,YES,NO,YES,NO,YES,NO,NO,PPT
9674,,Bahrain,"Egypt, Arab Rep.",Original,2016,2019,In Force,BHR,High income,Middle East & North Africa,EGY,Lower middle income,Middle East & North Africa,0.44,0.34,0.47,0.50,0.47,6,YES,6,YES,YES,NO,YES,NO,NO,YES,NO,5,25,10,10,10,10,10,10,0,NO,YES,YES,NO,YES,NO,NO,PPT
9675,,Azerbaijan,Malta,Original,2016,2017,In Force,AZE,Upper middle income,Europe & Central Asia,MLT,High income,Middle East & North Africa,0.37,0.30,0.56,0.25,0.35,12,YES,6,YES,YES,NO,YES,YES,NO,NO,NO,8,,8,8,8,8,8,8,0,YES,NO,YES,NO,NO,NO,NO,NA
9676,,Saudi Arabia,Turkmenistan,Original,2016,2018,In Force,SAU,High income,Middle East & North Africa,TKM,Upper middle income,Europe & Central Asia,0.41,0.38,0.47,0.38,0.41,6,YES,6,YES,YES,YES,NO,NO,NO,YES,NO,10,,10,10,10,10,10,10,0,NO,YES,YES,NO,NO,NO,NO,NA
9677,,Colombia,Panama,Original,2016,,Not In Force,COL,Upper middle income,Latin America & Caribbean,PAN,High income,Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9678,,Jamaica,Mexico,Original,2016,2019,In Force,JAM,Upper middle income,Latin America & Caribbean,MEX,Upper middle income,Latin America & Caribbean,0.65,0.47,0.84,0.63,0.76,6,YES,6,NO,NO,YES,YES,NO,NO,YES,NO,5,25,10,10,10,10,10,10,10,YES,YES,YES,NO,YES,NO,NO,LOB
9679,,Cambodia,Singapore,Original,2016,2018,In Force,KHM,Lower middle income,East Asia & Pacific,SGP,High income,East Asia & Pacific,0.57,0.50,0.72,0.50,0.65,6,YES,6,YES,YES,YES,YES,YES,NO,NO,YES,10,,10,10,10,10,10,10,10,YES,NO,YES,NO,YES,NO,NO,NA
9680,,Kosovo,United Arab Emirates,Original,2016,2017,In Force,UNK,Upper middle income,Europe & Central Asia,ARE,High income,Middle East & North Africa,0.36,0.38,0.47,0.25,0.35,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,5,,5,5,5,NO LIMIT,NO LIMIT,NO LIMIT,0,YES,NO,YES,NO,NO,NO,NO,PARTIAL
9682,,Ethiopia,"Korea, Rep.",Original,2016,2018,In Force,ETH,Low income,Sub-Saharan Africa,KOR,High income,East Asia & Pacific,0.27,0.24,0.19,0.38,0.24,12,NO,NO,YES,YES,NO,NO,YES,NO,NO,NO,5,25,8,7.5,7.5,5,5,5,0,YES,NO,YES,NO,YES,NO,YES,PARTIAL
